股票代码,股票名称,所属行业,所属概念
920188,N悦龙,"基础化工,其他橡胶制品,橡胶",
688693,锴威特,"半导体,分立器件,电子",
301008,宏昌科技,"家电零部件Ⅲ,家电零部件Ⅱ,家用电器",
688677,海泰新光,"医药生物,医疗设备,医疗器械",
300385,雪浪环境,"大气治理,环保,环境治理",
920078,族兴新材,"其他金属新材料,有色金属,金属新材料",
688308,欧科亿,"金属制品,通用设备,机械设备",
920576,天力复合,"其他金属新材料,有色金属,金属新材料",
300313,*ST天山,"其他养殖,养殖业,农林牧渔",
300683,海特生物,"医疗研发外包,医疗服务,医药生物",
688336,三生国健,"其他生物制品,医药生物,生物制品",
300961,深水海纳,"环保,环境治理,水务及水治理",
300900,广联航空,"国防军工,航空装备Ⅲ,航空装备Ⅱ",
2501,利源股份,"铝,工业金属,有色金属",
300300,海峡创新,"IT服务Ⅲ,IT服务Ⅱ,计算机",
600423,柳化股份,"其他化学原料,基础化工,化学原料",
600502,安徽建工,"基建市政工程,建筑装饰,基础建设",
2578,闽发铝业,"铝,工业金属,有色金属",
600359,新农开发,"种植业,其他种植业,农林牧渔",
601388,怡球资源,"铝,工业金属,有色金属",
592,平潭发展,"林业Ⅲ,林业Ⅱ,农林牧渔",
2686,亿利达,"制冷空调设备,通用设备,机械设备",
2675,东诚药业,"化学制剂,化学制药,医药生物",
600955,维远股份,"其他化学原料,基础化工,化学原料",
2160,常铝股份,"铝,工业金属,有色金属",
603601,再升科技,"其他专业工程,专业工程,建筑装饰",
3042,中农联合,"农药,农化制品,基础化工",
603538,美诺华,"化学制药,原料药,医药生物",
890,法尔胜,"环保设备Ⅲ,环保设备Ⅱ,环保",
301018,申菱环境,"制冷空调设备,通用设备,机械设备",
603618,杭电股份,"线缆部件及其他,电力设备,电网设备",
600487,亨通光电,"通信线缆及配套,通信设备,通信",
603256,宏和科技,"玻纤制造,玻璃玻纤,建筑材料",
1400,江顺科技,"其他专用设备,机械设备,专用设备",
600602,云赛智联,"计算机,垂直应用软件,软件开发",
2222,福晶科技,"光学元件,电子,光学光电子",
600513,联环药业,"化学制剂,化学制药,医药生物",
2850,科达利,"锂电池,电池,电力设备",
603061,金海通,"半导体设备,半导体,电子",
2980,华盛昌,"电力设备,电网设备,电工仪器仪表",
603016,新宏泰,"配电设备,电力设备,电网设备",
600343,航天动力,"通用设备,其他通用设备,机械设备",
2532,天山铝业,"铝,工业金属,有色金属",
2810,山东赫达,"基础化工,化学制品,其他化学制品",
3036,泰坦股份,"纺织服装设备,机械设备,专用设备",
600598,北大荒,"粮食种植,种植业,农林牧渔",
2038,双鹭药业,"化学制剂,化学制药,医药生物",
601068,中铝国际,"其他专业工程,专业工程,建筑装饰",
603585,苏利股份,"农药,农化制品,基础化工",
600996,贵广网络,"电视广播Ⅲ,电视广播Ⅱ,传媒",
600152,维科技术,"锂电池,电池,电力设备",
603017,中衡设计,"建筑装饰,工程咨询服务Ⅲ,工程咨询服务Ⅱ",
2361,神剑股份,"合成树脂,基础化工,塑料",
600127,金健米业,"粮油加工,农林牧渔,农产品加工",
2370,亚太药业,"化学制剂,化学制药,医药生物",
2309,中利集团,"电力设备,光伏电池组件,光伏设备",
600488,津药药业,"化学制药,原料药,医药生物",
600539,狮头股份,"电商服务,互联网电商,商贸零售",
601869,长飞光纤,"通信线缆及配套,通信设备,通信",
301153,中科江南,"计算机,垂直应用软件,软件开发",
300936,中英科技,"元件,印制电路板,电子",
603716,塞力医疗,"医药流通,医药商业,医药生物",
603159,上海亚虹,"其他专用设备,机械设备,专用设备",
301005,超捷股份,"其他汽车零部件,汽车,汽车零部件",
600845,宝信软件,"IT服务Ⅲ,IT服务Ⅱ,计算机",
688272,富吉瑞,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
301321,翰博高新,"电子,面板,光学光电子",
807,云铝股份,"铝,工业金属,有色金属",
301280,珠城科技,"家电零部件Ⅲ,家电零部件Ⅱ,家用电器",
2484,江海股份,"被动元件,元件,电子",
300677,英科医疗,"医药生物,医疗器械,医疗耗材",
603356,华菱精工,"机械设备,楼宇设备,专用设备",
603876,鼎胜新材,"铝,工业金属,有色金属",
688428,诺诚健华,"化学制剂,化学制药,医药生物",
300337,银邦股份,"铝,工业金属,有色金属",
300461,田中精机,"机械设备,其他自动化设备,自动化设备",
688607,康众医疗,"医药生物,医疗设备,医疗器械",
301306,西测测试,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
48,京基智农,"养殖业,农林牧渔,生猪养殖",
301015,百洋医药,"医药流通,医药商业,医药生物",
688257,新锐股份,"金属制品,通用设备,机械设备",
603897,长城科技,"线缆部件及其他,电力设备,电网设备",
600867,通化东宝,"其他生物制品,医药生物,生物制品",
300920,润阳科技,"其他塑料制品,基础化工,塑料",
603272,联翔股份,"其他家居用品,轻工制造,家居用品",
300779,惠城环保,"环保,环境治理,固废治理",
601952,苏垦农发,"粮食种植,种植业,农林牧渔",
300457,赢合科技,"电池,锂电专用设备,电力设备",
600345,长江通信,"通信设备,通信,其他通信设备",
603358,华达科技,"其他汽车零部件,汽车,汽车零部件",
2866,传艺科技,"电子,消费电子,消费电子零部件及组装",
600398,海澜之家,"非运动服装,服装家纺,纺织服饰",
600135,乐凯胶片,"基础化工,膜材料,塑料",
688288,鸿泉技术,"计算机,计算机设备,其他计算机设备",
603778,国晟科技,"电力设备,光伏电池组件,光伏设备",
2788,鹭燕医药,"医药流通,医药商业,医药生物",
600237,铜峰电子,"被动元件,元件,电子",
2796,世嘉科技,"通信设备,通信,通信网络设备及器件",
301526,国际复材,"玻纤制造,玻璃玻纤,建筑材料",
920225,利通科技,"基础化工,其他橡胶制品,橡胶",
688331,荣昌生物,"其他生物制品,医药生物,生物制品",
600988,赤峰黄金,"黄金,贵金属,有色金属",
601000,唐山港,"港口,航运港口,交通运输",
688059,华锐精密,"金属制品,通用设备,机械设备",
300585,奥联电子,"汽车,汽车零部件,底盘与发动机系统",
301230,泓博医药,"医疗研发外包,医疗服务,医药生物",
603271,永杰新材,"铝,工业金属,有色金属",
600522,中天科技,"通信线缆及配套,通信设备,通信",
301226,祥明智能,"电机Ⅲ,电机Ⅱ,电力设备",
300209,行云科技,"计算机,垂直应用软件,软件开发",
155,川能动力,"风力发电,公用事业,电力",
301377,鼎泰高科,"金属制品,通用设备,机械设备",
2950,奥美医疗,"医药生物,医疗器械,医疗耗材",
600595,中孚实业,"铝,工业金属,有色金属",
603211,晋拓股份,"其他汽车零部件,汽车,汽车零部件",
688136,科兴制药,"其他生物制品,医药生物,生物制品",
920748,路桥信息,"IT服务Ⅲ,IT服务Ⅱ,计算机",
913,钱江摩托,"摩托车,摩托车及其他,汽车",
688388,嘉元科技,"锂电池,电池,电力设备",
688323,瑞华泰,"基础化工,膜材料,塑料",
600498,烽火通信,"通信设备,通信,通信网络设备及器件",
300342,天银机电,"家电零部件Ⅲ,家电零部件Ⅱ,家用电器",
603023,威帝股份,"汽车电子电气系统,汽车,汽车零部件",
600540,新赛股份,"种植业,其他种植业,农林牧渔",
920087,秋乐种业,"种子,种植业,农林牧渔",
600699,均胜电子,"汽车电子电气系统,汽车,汽车零部件",
688210,统联精密,"电子,消费电子,消费电子零部件及组装",
600219,南山铝业,"铝,工业金属,有色金属",
300952,恒辉安防,"服装家纺,鞋帽及其他,纺织服饰",
301239,普瑞眼科,"医疗服务,医药生物,医院",
600105,永鼎股份,"通信线缆及配套,通信设备,通信",
628,高新发展,"房屋建设Ⅲ,房屋建设Ⅱ,建筑装饰",
2859,洁美科技,"电子,其他电子Ⅲ,其他电子Ⅱ",
601702,华峰铝业,"铝,工业金属,有色金属",
688552,航天南湖,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
603790,雅运股份,"纺织化学制品,基础化工,化学制品",
603086,先达股份,"农药,农化制品,基础化工",
2149,西部材料,"有色金属,其他小金属,小金属",
603737,三棵树,"涂料,建筑材料,装修建材",
301246,宏源药业,"化学制药,原料药,医药生物",
2281,光迅科技,"通信设备,通信,通信网络设备及器件",
603599,广信股份,"农药,农化制品,基础化工",
600313,农发种业,"种子,种植业,农林牧渔",
688409,富创精密,"半导体设备,半导体,电子",
688710,益诺思,"医疗研发外包,医疗服务,医药生物",
603886,元祖股份,"烘焙食品,休闲食品,食品饮料",
2858,力盛体育,"体育Ⅲ,体育Ⅱ,社会服务",
600099,林海股份,"摩托车及其他,其他运输设备,汽车",
300391,长药退,"中药Ⅲ,中药Ⅱ,医药生物",
603122,合富中国,"其他医疗服务,医疗服务,医药生物",
600486,扬农化工,"农药,农化制品,基础化工",
300364,中文在线,"文字媒体,数字媒体,传媒",
920005,鼎佳精密,"电子,消费电子,消费电子零部件及组装",
603639,海利尔,"农药,农化制品,基础化工",
688787,海天瑞声,"IT服务Ⅲ,IT服务Ⅱ,计算机",
2988,豪美新材,"铝,工业金属,有色金属",
833,粤桂股份,"综合Ⅲ,综合,综合Ⅱ",
603303,得邦照明,"家用电器,照明设备Ⅲ,照明设备Ⅱ",
605006,山东玻纤,"玻纤制造,玻璃玻纤,建筑材料",
600724,宁波富达,"房产租赁经纪,房地产服务,房地产",
753,漳州发展,"综合Ⅲ,综合,综合Ⅱ",
688375,国博电子,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
2662,峰璟股份,"车身附件及饰件,汽车,汽车零部件",
600547,山东黄金,"黄金,贵金属,有色金属",
688183,生益电子,"元件,印制电路板,电子",
301216,万凯新材,"其他塑料制品,基础化工,塑料",
603127,昭衍新药,"医疗研发外包,医疗服务,医药生物",
688270,臻镭科技,"半导体,模拟芯片设计,电子",
2413,雷科防务,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
